Title,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
17,7/24/21,Sir Gawain and the Green Knight,Unknown,"Unknown, Unknown",https://covers.openlibrary.org/b/id/12233906-L.jpg,9.78E+12,Unbound,240,2018,1397,https://www.indiebound.org/book/9781783525607
16,7/18/21,The Music Lesson: A Spiritual Search for Growth Through Music,Victor L. Wooten,"Wooten, Victor L.",https://covers.openlibrary.org/b/id/6409515-L.jpg,9.78E+12,Hal Leonard Publishing Corporation,290,2015,2006,https://www.indiebound.org/book/9780425220931
15,7/10/21,"Wyrd Sisters (Discworld, #6)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021683-L.jpg,9.78E+12,Roc,233,1988,1988,https://www.indiebound.org/book/9780062225733
14,6/27/21,The Song of Achilles,Madeline Miller,"Miller, Madeline",https://covers.openlibrary.org/b/id/10826922-L.jpg,9.78E+12,HarperCollins,389,2012,2011,https://www.indiebound.org/book/9780062060624
13,6/11/21,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021696-L.jpg,9.78E+12,Harper,341,2008,1989,https://www.indiebound.org/book/9780061020650
12,5/31/21,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10618567-L.jpg,9.78E+12,Harper,276,2008,1988,https://www.indiebound.org/book/9780061020674
11,5/24/21,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/45140-L.jpg,9.78E+12,HarperPrism,377,2003,1993,https://www.indiebound.org/book/9780061092190
10,5/12/21,"Reaper Man (Discworld, #11)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43531-L.jpg,9.78E+12,HarperTorch,374,2002,1991,https://www.indiebound.org/book/9780061020629
9,5/4/21,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10639705-L.jpg,9.78E+12,HarperTorch,277,2000,1986,https://www.indiebound.org/book/9780061020704
8,4/26/21,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/38429-L.jpg,9.78E+12,Harper Perennial,240,2005,1987,https://www.indiebound.org/book/9780060855901
7,4/18/21,"The Color of Magic (Discworld, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43549-L.jpg,9.78E+12,HarperCollins,293,2009,1983,https://www.indiebound.org/book/9780062225672
6,4/3/21,Circe,Madeline Miller,"Miller, Madeline",https://covers.openlibrary.org/b/id/10618670-L.jpg,9.78E+12,"Little, Brown and Company",393,2018,2018,https://www.indiebound.org/book/9780316556347
5,3/28/21,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021091-L.jpg,9.78E+12,Harpertorch,243,2001,1987,https://www.indiebound.org/book/9780061020681
4,3/12/21,"Guards! Guards! (Discworld, #8; City Watch #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8913515-L.jpg,9.78E+12,HarperTorch,376,2001,1989,https://www.indiebound.org/book/9780061020643
3,2/16/21,"Small Gods (Discworld, #13)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9023424-L.jpg,9.78E+12,HarperCollins ebooks,355,2009,1992,https://www.indiebound.org/book/9780062237378
2,2/8/21,Means of Ascent,Robert A. Caro,"Caro, Robert A.",https://covers.openlibrary.org/b/id/6664682-L.jpg,9.78E+12,Vintage,592,1991,1990,https://www.indiebound.org/book/9780679733713
1,1/16/21,The Night Manager,John le Carré,"Carré, John le",https://covers.openlibrary.org/b/id/8870676-L.jpg,9.78E+12,Knopf,429,1993,1993,https://www.indiebound.org/book/9780679425137
