id,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,dateRead,bookBuyUrl,,
64217,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021696-L.jpg,61020656,9.78E+12,Harper,341,2008,1989,6/11/21,https://www.indiebound.org/book/9780061020650,,
34499,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10618567-L.jpg,61020672,9.78E+12,Harper,276,2008,1988,5/31/21,https://www.indiebound.org/book/9780061020674,,
400354,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/45140-L.jpg,61092193,9.78E+12,HarperPrism,377,2003,1993,5/24/21,https://www.indiebound.org/book/9780061092190,,
846092,"Reaper Man (Discworld, #11)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43531-L.jpg,61020621,9.78E+12,HarperTorch,374,2002,1991,5/12/21,https://www.indiebound.org/book/9780061020629,,
34506,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10639705-L.jpg,61020702,9.78E+12,HarperTorch,277,2000,1986,5/4/21,https://www.indiebound.org/book/9780061020704,,
34507,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/38429-L.jpg,60855908,9.78E+12,Harper Perennial,240,2005,1987,4/26/21,https://www.indiebound.org/book/9780060855901,,
36506438,"The Color of Magic (Discworld, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43549-L.jpg,,9.78E+12,HarperCollins,293,2009,1983,4/18/21,https://www.indiebound.org/book/9780062225672,,
35959740,Circe,Madeline Miller,"Miller, Madeline",https://covers.openlibrary.org/b/id/10618670-L.jpg,316556343,9.78E+12,"Little, Brown and Company",393,2018,2018,4/3/21,https://www.indiebound.org/book/9780316556347,,
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021091-L.jpg,61020680,9.78E+12,Harpertorch,243,2001,1987,3/28/21,https://www.indiebound.org/book/9780061020681,,
64216,"Guards! Guards! (Discworld, #8; City Watch #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8913515-L.jpg,61020648,9.78E+12,HarperTorch,376,2001,1989,3/12/21,https://www.indiebound.org/book/9780061020643,,
6388978,"Small Gods (Discworld, #13)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9023424-L.jpg,,9.78E+12,HarperCollins ebooks,355,2009,1992,2/16/21,https://www.indiebound.org/book/9780062237378,,
208324,Means of Ascent,Robert A. Caro,"Caro, Robert A.",https://covers.openlibrary.org/b/id/6664682-L.jpg,067973371X,9.78E+12,Vintage,592,1991,1990,2/8/21,https://www.indiebound.org/book/9780679733713,,
82842,The Night Manager,John le Carré,"Carré, John le",https://covers.openlibrary.org/b/id/8870676-L.jpg,679425136,9.78E+12,Knopf,429,1993,1993,1/16/21,https://www.indiebound.org/book/9780679425137,,
